ticker,fiscal_date,marketCap,earningsYield,returnOnEquity,priceToBookRatio,netProfitMargin,grossProfitMargin,bookValuePerShare,dividendYield,source,sector,fiscalYear,returnOnInvestedCapital,freeCashFlowYield,available_date,fiscal_year
MTCH,2023-12-31,9423278337.625732,0.06914143641480935,-33.330212809494576,-482.0584375703771,0.19365083233665348,0.7164473574708189,-0.07269874607307578,,yfinance,Communication Services,,,,2024-03-30,2023
MTCH,2024-12-31,7897394040.073496,0.0698047985452768,-8.659828146844909,-124.05777722040081,0.15844119040988133,0.7151001056799602,-0.25315716017103085,,yfinance,Communication Services,,,,2025-03-31,2024
MTCH,2025-12-31,7378631494.288448,0.0831381809045279,-2.4198671421358244,-29.106568315641756,0.1759137783153633,0.7280411746167481,-1.090196085379645,,yfinance,Communication Services,,,,2026-03-31,2025
NFLX,2021-12-31,266956572000.0,0.01916501984450115,0.3228057255460953,16.84348506629463,0.17227607499049427,0.4163656122646479,3.5764569958592367,0.0,fmp,Communication Services,2021,0.1462301818663893,-0.000494368799431542,2022-03-31,2021
NFLX,2022-12-31,131141440200.0,0.03425251387471037,0.21619277598771858,6.311734571614611,0.14207957792921522,0.39370705238403253,4.672249706542417,0.0,fmp,Communication Services,2022,0.11820645734161245,0.01234185012404645,2023-03-31,2022
NFLX,2023-12-31,215000919900.0,0.025153334239292252,0.262672808597771,10.442862409367878,0.16036362043723068,0.4153783955346952,4.662514748477594,0.0,fmp,Communication Services,2023,0.14907062520936917,0.03221264822132512,2024-03-30,2023
NFLX,2024-12-31,382830284700.0,0.022755856441260273,0.3520766023750739,15.471911737705401,0.22336962115246067,0.46056556650417324,5.760761922056998,0.0,fmp,Communication Services,2024,0.20197690032492605,0.01808066466168997,2025-03-31,2024
NFLX,2025-12-31,396531760960.0,0.02769311838581254,0.41258687422902035,14.898534303034385,0.24303813935832022,0.48486575802475956,6.293236508567417,0.0,fmp,Communication Services,2025,0.2521668961712825,0.02385950869886153,2026-03-31,2025
OMC,2022-12-31,14663737899.780273,0.08977929154201038,0.40481535008148584,4.509005842311206,0.09213316444002771,0.18763952943152473,16.043907252096695,,yfinance,Communication Services,,,,2023-03-31,2022
OMC,2023-12-31,15694166244.506836,0.0886571467590391,0.3847579017227553,4.339840788791538,0.09470331196144893,0.18441758211840295,18.264141414141413,,yfinance,Communication Services,,,,2024-03-30,2023
OMC,2024-12-31,15955945430.96386,0.09279299721887808,0.3530702277333969,3.804923198035975,0.09437125137834547,0.18639692525383866,21.350626857408436,,yfinance,Communication Services,,,,2025-03-31,2024
OMC,2025-12-31,24768261470.03174,-0.0022003966675635295,-0.004524398545551147,2.0561740581805887,-0.003155414285631575,0.08494143666880888,38.47269243053338,,yfinance,Communication Services,,,,2026-03-31,2025
T,2021-12-31,133109760000.0,0.1508604628240634,0.12072842267272683,0.8002654931101653,0.14981572389919276,0.5493292946776287,25.6494140625,0.11319981344718824,fmp,Communication Services,2021,0.04478979940070431,0.191045344834218,2022-03-31,2021
T,2022-12-31,131926060000.0,-0.06461195005747916,-0.08742564102564103,1.353087794871795,-0.07059739442277271,0.5788671619416769,14.85584705554005,0.07473125476497972,fmp,Communication Services,2022,-0.012947495885987518,0.09396930371452009,2023-03-31,2022
T,2023-12-31,120497180000.00002,0.11950487140030992,0.139403854903821,1.1665119025721948,0.11762015225275264,0.4372202437350933,16.629299540453975,0.06752025234117512,fmp,Communication Services,2023,0.053352919863715396,0.1698048037306765,2024-03-30,2023
T,2024-12-31,163921230000.0,0.06678817624782342,0.10489403288238225,1.570547943892998,0.08949123724823436,0.4294320559769814,16.700236143908878,0.05007283071265388,fmp,Communication Services,2024,0.05043095657444097,0.1129078887463204,2025-03-31,2024
T,2025-12-31,178077960000.0,0.12291807475781955,0.198031357151258,1.6110841106275955,0.1742089010569209,0.5955367375525277,17.923280792300183,0.045934937709304395,fmp,Communication Services,2025,0.0576622776493174,0.10917690207142984,2026-03-31,2025
TMUS,2022-12-31,165204031080.5494,0.01567758354962404,0.037182726541862866,2.371712861498642,0.032549546945495215,0.5449849819657916,56.4491519959854,,yfinance,Communication Services,,,,2023-03-31,2022
TMUS,2023-12-31,184144694784.0774,0.045165569443921624,0.12851734528316464,2.845471602937146,0.10587082155859365,0.6157234145472136,54.118249923992146,,yfinance,Communication Services,,,,2024-03-30,2023
TMUS,2024-12-31,246235475755.58832,0.04604941658063526,0.18365429779239079,3.9882003167358535,0.1392997542997543,0.6357125307125308,53.94207238246439,,yfinance,Communication Services,,,,2025-03-31,2024
TMUS,2025-12-31,222468605530.72156,0.04940921876944148,0.1856662669121497,3.7577252087009367,0.12447202436897711,0.6288713494660794,53.48392820424368,,yfinance,Communication Services,,,,2026-03-31,2025
VZ,2021-12-31,215530080000.0,0.10237550136853288,0.2697762562660472,2.6351642010025675,0.1651411165081242,0.457335738288939,20.057859209257472,0.048461913065684384,fmp,Communication Services,2021,0.07430228064342553,0.08932859858818779,2022-03-31,2021
VZ,2022-12-31,165558800000.0,0.12838943022056212,0.23321337663477573,1.8164530852277714,0.1553403734424672,0.4428910731903387,22.004521656354118,0.065263821675441,fmp,Communication Services,2022,0.06820985204314904,0.06282360104083866,2023-03-31,2022
VZ,2023-12-31,158754700000.0,0.07315688921335872,0.1256518446391864,1.717566807313643,0.0866884619403765,0.458768119187305,22.274756589883637,0.06944676283599792,fmp,Communication Services,2023,0.059627753987994005,0.11784218042048519,2024-03-30,2023
VZ,2024-12-31,168677820000.0,0.10378365098624111,0.17640597760915788,1.699747271682941,0.12987803068522422,0.4659094281390035,23.844238975817923,0.06668926596276854,fmp,Communication Services,2024,0.06889264675184026,0.11217835279113757,2025-03-31,2024
VZ,2025-12-31,172124980000.0,0.09977633693842695,0.16440742868083477,1.6477597166379476,0.12427726841834852,0.45644795970794044,25.02153336488405,0.0667015328048259,fmp,Communication Services,2025,0.062248616309032445,0.1169266657285886,2026-03-31,2025
WBD,2022-12-31,23036398887.634277,-0.31997188605536275,-0.15651343030045653,0.4891474442644501,-0.21796729455599254,0.39551113345358846,19.38065843621399,,yfinance,Communication Services,,,,2023-03-31,2022
WBD,2023-12-31,27755820279.1214,-0.11262502669940737,-0.06911953301198426,0.6137137991226594,-0.07565160572106193,0.4064519251712204,18.542845428454285,,yfinance,Communication Services,,,,2024-03-30,2023
WBD,2024-12-31,25938779251.098637,-0.43606524002169156,-0.33231483385727295,0.7620759541410417,-0.2876579944558887,0.4158337783881387,13.87000814995925,,yfinance,Communication Services,,,,2025-03-31,2024
WBD,2025-12-31,71473599243.16406,0.010171587938738546,0.020239984409365516,1.98985493034784,0.01949270699270699,0.44002037752037754,14.483467741935485,,yfinance,Communication Services,,,,2026-03-31,2025
